ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
483846111,Audio,Black-capped Chickadee,Poecile atricapillus,,Tate Putman,2022-09-13,2022,9,13,1310,United States,US-MN-037,Minnesota,Dakota,"Lakeville--205th St W, jct Jupiter Ave/Way",44.6536886,-93.2796418,"",,Unspecified,"","",,,,,,,S118669442,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,1.00,2,,,
483818391,Audio,Black-capped Chickadee,Poecile atricapillus,,Tate Putman,2022-09-13,2022,9,13,1145,United States,US-MN-037,Minnesota,Dakota,-Putman Yard (Lakeville),44.6518334,-93.2810062,"",,Unspecified,"","",,,,,,,S118664267,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,2.00,2,,,
483790541,Audio,Black-capped Chickadee,Poecile atricapillus,,William  von Herff,2022-08-13,2022,8,13,1120,United States,US-MA-001,Massachusetts,Barnstable,Wellfleet Bay Wildlife Sanctuary (Mass Audubon),41.8825315,-69.9957120,"",,Unspecified,"","",,,,,,,S116859516,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,2.00,1,,,
483778961,Audio,Black-capped Chickadee,Poecile atricapillus,,John Tollefson,2022-09-13,2022,9,13,650,United States,US-IA-113,Iowa,Linn,Noelridge Park,42.0258656,-91.6556096,"",Call,Unspecified,"","",,,,,,,S118610313,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,4.00,1,"",,
483634821,Audio,Black-capped Chickadee,Poecile atricapillus,,Sachi Snively,2022-09-12,2022,9,12,645,Canada,CA-BC-CR,British Columbia,Cariboo,Tatlayoko Lake Bird Observatory,51.6532824,-124.4046092,"",,Unspecified,"","",,,,,,,S118585054,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,3.50,2,,,
483611021,Audio,Black-capped Chickadee,Poecile atricapillus,Melospiza melodia -- Song Sparrow,Kenny Frisch,2022-08-13,2022,8,13,1102,United States,US-UT-035,Utah,Salt Lake,* Wallace Lane (My house),40.6707517,-111.8073705,"",,Unspecified,"","",,,,,,,S116909158,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,5.00,1,,,
483605771,Audio,Black-capped Chickadee,Poecile atricapillus,"Melospiza melodia -- Song Sparrow; Spinus psaltria -- Lesser Goldfinch",Kenny Frisch,2022-04-17,2022,4,17,1228,United States,US-UT-035,Utah,Salt Lake,Crestwood Park,40.6142294,-111.8435562,"",,Unspecified,"","",,,,,,,S107320528,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,2.00,1,,,
483541511,Audio,Black-capped Chickadee,Poecile atricapillus,"Sitta canadensis -- Red-breasted Nuthatch; Turdus migratorius -- American Robin; Pica hudsonia -- Black-billed Magpie; Parulidae sp. -- new world warbler sp.; Corvus brachyrhynchos -- American Crow; Leiothlypis peregrina -- Tennessee Warbler; Passer domesticus -- House Sparrow; Haemorhous mexicanus -- House Finch",Daniel Koehn,2022-08-24,2022,8,24,859,Canada,CA-AB-EL,Alberta,Edmonton,"Koehn Home (Private Property) - Edmonton, AB, CA",53.5364668,-113.6100504,Unknown – 3,"Call; Foraging or Eating",Not Used,"","",,,,,,,S117488436,"",,,Number is an estimate.,,Poecile atricapillus,bkcchi,Species,21841,,2.00,1,"",,
483378691,Audio,Black-capped Chickadee,Poecile atricapillus,,Carl Hughes,2022-09-11,2022,9,11,1618,Canada,CA-BC-CP,British Columbia,Capital,Island View Beach,48.5751003,-123.3681107,"",,Unspecified,"","",,,,,,,S118540391,"",,,Poor quality record recording.,"Heard near the north washroom. Managed a crappy recording, brief looks as it flew past. Pretty elusive when trying for record shots.",Poecile atricapillus,bkcchi,Species,21841,,2.50,2,,,
483370821,Audio,Black-capped Chickadee,Poecile atricapillus,,Anne Craig,2022-09-11,2022,9,11,1745,United States,US-CO-059,Colorado,Jefferson,Rampart Station Subdivision,39.6610980,-105.1005793,"",,Unspecified,"","",,,,,,,S118537580,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,2.50,2,,,
